,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
252,1917 ,2019,Drama,R,119,Universal Pictures,"$95,000,000","$159,227,644","$225,395,935","$384,623,579",8.2
253,Happy Feet ,2006,Music,PG,108,Warner Bros.,"$100,000,000","$198,000,317","$186,335,291","$384,335,608",6.4
254,Ice Age ,2002,Comedy,PG,81,Twentieth Century Fox,"$59,000,000","$176,387,405","$206,869,731","$383,257,136",7.5
255,Fifty Shades Darker ,2017,Romance,R,118,Universal Pictures,"$55,000,000","$114,581,250","$266,964,596","$381,545,846",4.6
256,Monsters vs. Aliens ,2009,Sci-Fi,PG,94,DreamWorks,"$175,000,000","$198,351,526","$183,158,344","$381,509,870",6.4
257,Slumdog Millionaire ,2008,Romance,R,120,Fox Searchlight Pictures,"$15,000,000","$141,319,928","$237,090,185","$378,410,113",8.0
258,Taken 2 ,2012,Thriller,PG-13,92,Twentieth Century Fox,"$45,000,000","$139,854,287","$236,287,019","$376,141,306",6.2
259,G.I. Joe: Retaliation ,2013,Sci-Fi,PG-13,110,Paramount Pictures,"$130,000,000","$122,523,060","$253,217,645","$375,740,705",5.7
260,Mad Max: Fury Road ,2015,Thriller,R,120,Warner Bros.,"$150,000,000","$153,636,354","$221,100,000","$374,736,354",8.1
261,Shark Tale ,2004,Adventure,PG,90,DreamWorks Distribution,"$75,000,000","$160,861,908","$213,721,971","$374,583,879",6.0
262,Once Upon a Time... In Hollywood ,2019,Comedy,R,161,Sony Pictures Entertainment (SPE),"$90,000,000","$142,502,728","$231,872,331","$374,375,059",7.6
263,What Women Want ,2000,Romance,PG-13,127,Paramount Pictures,"$70,000,000","$182,811,707","$191,300,000","$374,111,707",6.4
264,Penguins of Madagascar ,2014,Animation,PG,92,Twentieth Century Fox,"$132,000,000","$83,850,911","$289,664,710","$373,515,621",6.6
265,X-Men Origins: Wolverine ,2009,Sci-Fi,PG-13,107,Twentieth Century Fox,"$150,000,000","$179,883,157","$193,179,707","$373,062,864",6.5
266,The Golden Compass ,2007,Adventure,PG-13,113,New Line Cinema,"$180,000,000","$70,107,728","$302,127,136","$372,234,864",6.1
267,Fifty Shades Freed ,2018,Thriller,R,105,Universal Pictures,"$55,000,000","$100,407,760","$271,577,258","$371,985,018",4.5
268,Batman Begins ,2005,Adventure,PG-13,140,Warner Bros.,"$150,000,000","$205,343,774","$166,510,009","$371,853,783",8.2
269,Hitch ,2005,Comedy,PG-13,118,Sony Pictures Entertainment (SPE),"$70,000,000","$179,495,555","$192,098,655","$371,594,210",6.6
270,Terminator Salvation ,2009,Sci-Fi,PG-13,115,Warner Bros.,"$200,000,000","$125,322,469","$246,030,532","$371,353,001",6.5
271,Captain America: The First Avenger ,2011,Adventure,PG-13,124,Paramount Pictures,"$140,000,000","$176,654,505","$193,915,269","$370,569,774",6.9
272,Edge of Tomorrow ,2014,Adventure,PG-13,113,Warner Bros.,"$178,000,000","$100,206,256","$270,335,000","$370,541,256",7.9
273,Gone Girl ,2014,Drama,R,149,Twentieth Century Fox,"$61,000,000","$167,767,189","$201,563,174","$369,330,363",8.1
274,Jurassic Park III ,2001,Sci-Fi,PG-13,92,Universal Pictures,"$93,000,000","$181,171,875","$187,608,934","$368,780,809",5.9
275,My Big Fat Greek Wedding ,2002,Drama,PG,95,IFC Films,"$5,000,000","$241,438,208","$127,305,836","$368,744,044",6.6
276,Shazam! ,2019,Comedy,PG-13,132,Warner Bros.,"$100,000,000","$140,371,656","$225,600,000","$365,971,656",7.0
277,The Nun ,2018,Thriller,R,96,Warner Bros.,"$22,000,000","$117,450,119","$248,100,000","$365,550,119",5.3
278,Alvin and the Chipmunks ,2007,Family,PG,92,Twentieth Century Fox,"$60,000,000","$217,326,974","$148,025,572","$365,352,546",5.2
279,Night at the Museum: Secret of the Tomb ,2014,Family,PG,98,Twentieth Century Fox,"$127,000,000","$113,746,621","$249,458,014","$363,204,635",6.2
280,Ocean's Twelve ,2004,Thriller,PG-13,125,Warner Bros.,"$110,000,000","$125,544,280","$237,200,000","$362,744,280",6.5
281,Planet of the Apes ,2001,Thriller,PG-13,119,Twentieth Century Fox,"$100,000,000","$180,011,740","$182,200,000","$362,211,740",5.7
282,The Hangover Part III ,2013,Comedy,R,100,Warner Bros.,"$103,000,000","$112,200,072","$249,800,000","$362,000,072",5.8
283,Fast & Furious ,2009,Action,PG-13,107,Universal Pictures,"$85,000,000","$155,064,265","$205,300,000","$360,364,265",6.5
284,Noah ,2014,Adventure,PG-13,138,Paramount Pictures,"$125,000,000","$101,200,044","$258,000,000","$359,200,044",5.8
285,The Karate Kid ,2010,Drama,PG,140,Sony Pictures Entertainment (SPE),"$40,000,000","$176,591,618","$182,534,404","$359,126,022",7.3
286,Hotel Transylvania ,2012,Animation,PG,91,Sony Pictures Entertainment (SPE),"$85,000,000","$148,313,048","$210,062,555","$358,375,603",7.0
287,Minority Report ,2002,Thriller,PG-13,145,Twentieth Century Fox,"$102,000,000","$132,072,926","$226,300,000","$358,372,926",7.6
288,The Legend of Tarzan ,2016,Adventure,PG-13,110,Warner Bros.,"$180,000,000","$126,643,061","$230,057,296","$356,700,357",6.2
289,American Beauty ,1999,Drama,R,122,DreamWorks Distribution,"$15,000,000","$130,096,601","$226,200,000","$356,296,601",8.3
290,The Great Gatsby ,2013,Romance,PG-13,143,Warner Bros.,"$105,000,000","$144,840,419","$208,801,476","$353,641,895",7.2
291,Dumbo ,2019,Fantasy,PG,112,Walt Disney Studios Motion Pictures,"$170,000,000","$114,766,307","$238,518,314","$353,284,621",7.2
292,"I, Robot ",2004,Thriller,PG-13,115,Twentieth Century Fox,"$120,000,000","$144,801,023","$208,332,875","$353,133,898",7.1
293,Murder on the Orient Express ,2017,Mystery,PG-13,114,Twentieth Century Fox,"$55,000,000","$102,826,543","$249,963,268","$352,789,811",6.5
294,X-Men: First Class ,2011,Adventure,PG-13,131,Twentieth Century Fox,"$160,000,000","$146,408,305","$206,208,385","$352,616,690",7.7
295,The Angry Birds Movie ,2016,Animation,PG,97,Sony Pictures Entertainment (SPE),"$73,000,000","$107,509,366","$244,824,563","$352,333,929",6.3
296,Catch Me If You Can ,2002,Biography,PG-13,141,DreamWorks Distribution,"$52,000,000","$164,615,351","$187,498,961","$352,114,312",8.1
297,Now You See Me ,2013,Mystery,PG-13,115,Lionsgate,"$75,000,000","$117,723,989","$234,000,000","$351,723,989",7.2
298,Hannibal ,2001,Drama,R,131,Metro-Goldwyn-Mayer (MGM),"$87,000,000","$165,092,268","$186,600,000","$351,692,268",6.8
299,Peter Rabbit ,2018,Animation,PG,95,Sony Pictures Entertainment (SPE),"$50,000,000","$115,253,424","$236,013,009","$351,266,433",6.6
300,Titanic ,2012,Drama,PG-13,194,Paramount Pictures,"$200,000,000","$57,884,114","$292,565,407","$350,449,521",7.9
301,Mary Poppins Returns ,2018,Comedy,PG,130,Walt Disney Studios Motion Pictures,"$130,000,000","$171,958,438","$177,579,056","$349,537,494",6.7
302,The Lorax ,2012,Family,PG,86,Universal Pictures,"$70,000,000","$214,030,500","$134,809,816","$348,840,316",6.4
303,The Maze Runner ,2014,Thriller,PG-13,113,Twentieth Century Fox,"$34,000,000","$102,427,862","$245,891,999","$348,319,861",6.8
304,The Smurfs 2 ,2013,Adventure,PG,105,Sony Pictures Entertainment (SPE),"$105,000,000","$71,017,784","$276,527,576","$347,545,360",5.3
305,National Treasure ,2004,Mystery,PG,131,Walt Disney Studios Motion Pictures,"$100,000,000","$173,008,894","$174,503,424","$347,512,318",6.9
306,Rush Hour 2 ,2001,Comedy,PG-13,90,New Line Cinema,"$90,000,000","$226,164,286","$121,161,516","$347,325,802",6.7
307,Trolls ,2016,Musical,PG,92,Twentieth Century Fox,"$125,000,000","$153,707,064","$193,157,398","$346,864,462",6.4
308,xXx: Return of Xander Cage ,2017,Action,PG-13,107,Paramount Pictures,"$85,000,000","$44,898,413","$301,219,864","$346,118,277",5.2
309,How the Grinch Stole Christmas ,2000,Family,PG,104,Universal Pictures,"$123,000,000","$260,044,825","$85,096,578","$345,141,403",6.3
310,Star Trek Beyond ,2016,Thriller,PG-13,122,Paramount Pictures,"$185,000,000","$158,848,340","$184,623,476","$343,471,816",7.0
311,Alvin and the Chipmunks: Chipwrecked ,2011,Fantasy,G,87,Twentieth Century Fox,"$75,000,000","$133,110,742","$209,584,693","$342,695,435",4.4
312,Wanted ,2008,Thriller,R,110,Universal Pictures,"$75,000,000","$134,508,551","$207,954,512","$342,463,063",6.7
313,A Quiet Place ,2018,Horror,PG-13,90,Paramount Pictures,"$17,000,000","$188,024,361","$152,915,000","$340,939,361",7.5
314,Enchanted ,2007,Musical,PG,107,Walt Disney Studios Motion Pictures,"$85,000,000","$127,807,262","$212,680,390","$340,487,652",7.1
315,300: Rise of an Empire ,2014,Drama,R,102,Warner Bros.,"$110,000,000","$106,580,051","$231,000,000","$337,580,051",6.2
316,Prince of Persia: The Sands of Time ,2010,Action,PG-13,116,Walt Disney Studios Motion Pictures,"$200,000,000","$90,759,676","$245,606,000","$336,365,676",6.6
317,The Curious Case of Benjamin Button ,2008,Drama,PG-13,166,Paramount Pictures,"$150,000,000","$127,509,326","$208,293,460","$335,802,786",7.8
318,Journey 2: The Mysterious Island ,2012,Adventure,PG,94,Warner Bros.,"$79,000,000","$103,860,290","$231,400,000","$335,260,290",5.7
319,The Great Wall ,2017,Thriller,PG-13,103,Universal Pictures,"$150,000,000","$45,540,830","$289,393,001","$334,933,831",5.9
